Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,201,0,0,0,580000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,86,2,2,0,270000000
Riomar,Usado,4,Casa,Villa Campestre,180,4,3,2,600000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,80,2,2,1,229000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,60,2,3,1,260000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,460,16,2,0,840000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,578,4,5,2,1050000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,68,3,1,1,220000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,92,3,3,1,270000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,112,4,4,1,380000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,85,2,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Villa Country,200,3,3,1,450000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,109,3,2,1,393948000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,83,3,2,1,190000000
Riomar,Usado,4,Apartamento,Villa Campestre,86,3,3,1,320000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,64,3,1,1,160000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,119,3,4,1,395500000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,130,3,2,0,300000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,80,3,2,1,181000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,110,4,2,1,350000000
Riomar,Usado,4,Apartamento,Villa Campestre,98,3,2,1,350000000
Norte-Centro Histórico,Usado,4,Apartamento,La Cumbre,96,3,2,1,230000000
Riomar,Usado,4,Apartamento,Altos del Prado,74,2,2,1,195000000
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,El Porvenir,108,3,2,2,340000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,122,3,3,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,105,3,4,1,385000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,109,3,3,1,372600000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,63,2,2,0,160000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,76,3,2,1,220000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,100,3,3,1,341000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,90,4,3,1,240000000
Riomar,Usado,4,Apartamento,Altos del Prado,170,2,2,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,98,3,3,0,330000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,64,2,2,1,215000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,62,2,1,1,175000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,98,3,3,1,180000000
Norte-Centro Histórico,Inmobiliaria,4,Casa,La Cumbre,230,3,2,1,600000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,261,4,3,1,700000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,660,8,6,2,1050000000
Norte-Centro Histórico,Usado,4,Casa,El Rosario,170,4,2,1,290000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,372,5,5,2,1800000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,77,3,2,0,220000000
Riomar,Inmobiliaria,4,Apartamento,Villa Campestre,90,3,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,100,2,3,1,313500000
Norte-Centro Histórico,Usado,4,Apartamento,La Cumbre,240,3,3,0,650000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,138,3,2,1,290000000
Riomar,Usado,4,Apartamento,Altos del Prado,216,3,3,2,580000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,85,3,2,1,237000000
Norte-Centro Histórico,Usado,4,Apartamento,La Cumbre,110,3,2,1,330000000
Norte-Centro Histórico,Usado,4,Casa,Las Mercedes,116,4,2,1,350000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,94,3,2,0,180000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,86,2,2,0,168000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,80,3,2,1,200000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,320,4,2,2,900000000
Norte-Centro Histórico,Usado,4,Apartamento,Colombia,407,1,1,1,125000000
Norte-Centro Histórico,Usado,4,Apartamento,La Cumbre,56,1,2,1,215000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,270,8,8,2,750000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,47,1,1,1,148000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,300,8,3,0,900000000
Norte-Centro Histórico,Usado,4,Casa,Santa Ana,875,4,2,1,600000000
Norte-Centro Histórico,Usado,4,Casa,La Cumbre,269,4,3,1,650000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,36,1,1,1,180000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,76,3,2,0,180000000
Norte-Centro Histórico,Usado,4,Casa,La Campiña,450,9,7,6,1250000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,71,2,2,1,210000000
Norte-Centro Histórico,Usado,4,Casa,La Cumbre,236,4,4,1,800000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,97,4,3,1,230000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,178,5,4,1,450000000
Riomar,Usado,4,Apartamento,Altos del Prado,275,3,2,1,530000000
Norte-Centro Histórico,Usado,4,Apartamento,La Cumbre,139,3,3,1,290000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,331,0,0,0,2000000000
Norte-Centro Histórico,Usado,4,Apartamento,Santa Ana,64,1,2,1,150000000
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,76,3,2,1,321196880
Norte-Centro Histórico,Usado,4,Apartamento,Bellavista,72,2,2,1,220000000
Norte-Centro Histórico,Usado,4,Casa,Bellavista,201,7,2,1,850000000
Norte-Centro Histórico,Usado,4,Apartamento,El Tabor,89,3,3,1,320000000
Riomar,Usado,4,Apartamento,Villamar,109,3,3,0,455000000
Riomar,Usado,4,Apartamento,Miramar,97,3,2,1,230000000
Riomar,Usado,4,Apartamento,Miramar,61,3,2,0,220000000
