Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Norte-Centro Histórico,Inmobiliaria,4,Apartamento,La Concepción,78,2,2,1,241500000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,153,3,2,1,305000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,175,4,3,2,750000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,98,3,3,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,64,2,2,1,260000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,89,3,2,1,282000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,64,2,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,84,3,2,1,270000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,70,2,2,1,220000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,390,4,2,3,700000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,78,2,2,1,270000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,87,3,2,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,88,2,2,1,299000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,68,2,3,1,180000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,141,3,3,1,320000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,76,2,2,1,210000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,164,3,3,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,72,3,2,1,185000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,62,2,2,1,180000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,88,2,2,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,108,3,2,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,132,3,3,1,415000000
Riomar,Usado,4,Apartamento,Altos del Prado,275,3,2,1,480000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,73,2,2,1,170000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,88,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,78,2,2,1,240000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,150,3,4,2,500000000
Norte-Centro Histórico,Usado,4,Apartamento,Alameda del Rio,56,2,2,1,215000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,78,2,2,1,280000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,69,2,2,1,210000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,73,2,2,1,185000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,80,3,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,120,3,3,1,373000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,170,3,2,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,112,3,2,2,350000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,110,3,2,1,368500000
Norte-Centro Histórico,Usado,4,Apartamento,La Concepción,64,2,2,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,100,3,3,1,371000000
Norte-Centro Histórico,Usado,4,Casa,La Concepción,140,4,3,2,360000000
Norte-Centro Histórico,Usado,4,Apartamento,Granadillo,55,1,1,1,190000000
Riomar,Inmobiliaria,4,Casa,Paraíso,180,3,5,2,520000000
Norte-Centro Histórico,Usado,4,Casa,El Tabor,150,4,3,1,450000000
Riomar,Usado,4,Apartamento,Miramar,68,3,2,1,245000000
Riomar,Usado,4,Apartamento,Paraíso,89,3,2,1,245000000
Norte-Centro Histórico,Usado,4,Casa,El Tabor,120,3,2,1,380000000
Norte-Centro Histórico,Usado,4,Apartamento,El Prado,83,3,3,1,190000000
Norte-Centro Histórico,Usado,4,Casa,Santa Ana,127,3,2,1,480000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,370,8,4,4,950000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,69,2,1,1,250000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,650,6,9,0,1950000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,107,3,3,1,340000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,98,3,2,1,325000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,103,3,2,1,300000000
Norte-Centro Histórico,Usado,4,Apartamento,La Campiña,40,1,1,1,180000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,96,3,3,1,250000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,115,3,2,1,320000000
Norte-Centro Histórico,Usado,4,Apartamento,Villa Country,70,2,2,1,360000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,85,2,2,1,230000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,38,1,1,0,140000000
Norte-Centro Histórico,Usado,4,Apartamento,La Cumbre,106,3,2,1,260000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,300,3,2,0,380000000
Norte-Centro Histórico,Usado,4,Casa,Los Nogales,300,3,2,2,600000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,250,4,2,2,500000000
Norte-Centro Histórico,Usado,4,Apartamento,Los Nogales,113,3,2,1,240000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,72,2,2,1,275000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,133,4,3,2,450000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,54,1,1,0,150000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,338,7,6,1,500000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,214,4,2,1,850000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,150,4,2,1,330000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,53,2,2,1,150000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,47,1,1,0,130000000
Norte-Centro Histórico,Usado,4,Apartamento,Las Delicias,80,3,2,1,195000000
Norte-Centro Histórico,Usado,4,Casa,El Porvenir,343,6,7,0,750000000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,35,1,1,0,124900000
Norte-Centro Histórico,Usado,4,Apartamento,El Porvenir,36,1,1,1,160000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,133,3,2,0,450000000
Norte-Centro Histórico,Usado,4,Casa,Las Delicias,235,4,3,1,550000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,80,3,3,1,168000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,320000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,0,320000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,310000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,65,2,2,1,285000000
Norte-Centro Histórico,Usado,4,Casa,Betania,250,4,3,0,700000000
Norte-Centro Histórico,Usado,4,Apartamento,Betania,84,3,2,1,310000000
